Player,Ball lands,Ball hit from,Stroke Type,Ball hit to,In/out,Forced/Unforced,Double Fault,End of Point,End of Game,End of Set,End of Match
D,Z7,Z12,BS,Z2,In,,,,,,
N,Z2,Z8,FT,Z7,In,,,,,,
D,Z7,Z11,BT,,Net,Unforced,,Yes,,,
D,,Z12,S,Z3,In,,,,,,
N,Z3,,,,No Hit,Forced,,Yes,,,
D,,Z13,S,Z4,In,,,,,,
N,Z4,Z13,BT,Z9,In,,,,,,
D,Z9,Z13,FT,Z10,In,,,,,,
N,Z10,,,,No Hit,Forced,,Yes,Yes,Yes,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z11,FT,Z8,In,,,,,,
N,Z8,Z12,FT,Z6,In,,,,,,
D,Z6,Z14,BS,Z7,In,,,,,,
N,Z7,Z12,BT,Z8,In,,,,,,
D,Z8,Z12,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z7,In,,,,,,
D,Z7,Z11,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z8,In,,,,,,
D,Z8,Z12,FT,Z10,In,,,,,,
N,Z10,,,,No Hit,Forced,,Yes,,,
N,,Z13,S,,Net,,,,,,
N,,Z13,S,Z9,Long,Unforced,Yes,Yes,,,
N,,Z12,S,Z3,In,,,,,,
D,Z3,Z12,BT,Z7,In,,,,,,
N,Z7,Z11,BT,Z9,In,,,,,,
D,Z9,Z13,FT,Z13,Long,Unforced,,Yes,,,
N,,Z13,S,Z4,In,,,,,,
D,Z4,Z13,FT,Z8,In,,,,,,
N,Z8,Z12,FT,Z7,In,,,,,,
D,Z7,Z12,FT,Z2,In,,,,,,
N,Z2,Z11,BS,Z9,In,,,,,,
D,Z9,Z13,BT,Z8,In,,,,,,
N,Z8,Z12,BT,Z5,In,,,,,,
D,Z5,Z13,BT,Z7,In,,,,,,
N,Z7,Z12,BT,Z10,In,,,,,,
D,Z10,Z13,BT,Z10,In,,,,,,
N,Z10,Z13,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z10,In,,,,,,
N,Z10,Z14,FT,Z9,In,,,,,,
D,Z9,Z14,FT,Z7,In,,,,,,
N,Z7,Z12,BT,Z7,In,,,,,,
D,Z7,Z11,FT,Z8,In,,,,,,
N,Z8,Z12,BS,Z6,In,,,,,,
D,Z6,Z10,BS,,Net,Unforced,,Yes,,,
N,,Z12,S,Z4,Wide,,,,,,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z12,BT,Z9,In,,,,,,
N,Z9,Z12,FT,Z4,In,,,,,,
D,Z4,Z13,BT,Z7,In,,,,,,
N,Z7,Z12,BT,,Net,Unforced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
D,Z5,Z14,BT,Z5,In,,,,,,
N,Z5,Z13,FT,Z7,In,,,,,,
D,Z7,Z12,FT,Z12,Long,Forced,,Yes,,,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z11,FT,Z11,Long,Unforced,,Yes,,,
N,,Z13,S,Z4,In,,,,,,
D,Z4,Z14,FT,Z2,In,,,,,,
N,Z2,Z8,BT,Z8,In,,,,,,
D,Z8,Z12,FT,Z9,In,,,,,,
N,Z9,Z13,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z7,In,,,,,,
N,Z7,Z12,BT,Z5,In,,,,,,
D,Z5,Z13,BT,Z10,In,,,,,,
N,Z10,Z14,FT,Z9,In,,,,,,
D,Z9,Z13,BT,Z10,In,,,,,,
N,Z10,Z14,FS,Z10,In,,,,,,
D,Z10,Z14,FT,Z10,In,,,,,,
N,Z10,Z14,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z7,In,,,,,,
N,Z7,Z12,BS,Z2,In,,,,,,
D,Z2,Z8,FT,Z10,In,,,,,,
N,Z10,Z13,FT,,Net,Unforced,,Yes,,,
N,,Z12,S,Z3,In,,,,,,
D,Z3,Z12,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z7,In,,,,,,
D,Z7,Z11,FL,Z16,In,,,,,,
N,Z16,Z3,BV,Z7,In,,,,,,
D,Z7,,,,No Hit,Forced,,Yes,,,
N,,Z13,S,Z9,Long,,,,,,
N,,Z13,S,Z4,In,,,,,,
D,Z4,Z13,FT,Z8,In,,,,,,
N,Z8,Z12,FT,Z8,In,,,,,,
D,Z8,Z12,FT,Z13,Long,Unforced,,Yes,Yes,,
D,,Z12,S,Z3,In,,,,,,
N,Z3,Z12,FS,,Net,Forced,,Yes,,,
D,,Z13,S,Z5,In,,,,,,
N,Z5,Z14,FS,Z9,In,,,,,,
D,Z9,Z14,FT,Z7,In,,,,,,
N,Z7,,,,No Hit,Forced,,Yes,,,
D,,Z12,S,Z2,In,,,,,,
N,Z2,Z11,BT,Z1,In,,,,,,
D,Z1,Z1,FT,Z5,In,,,,,,
N,Z5,Z12,FT,Z8,In,,,,,,
D,Z8,,,,No Hit,Forced,,Yes,,,
D,,Z13,S,,Net,,,,,,
D,,Z13,S,Z5,In,,,,,,
N,Z5,Z14,FS,Z6,In,,,,,,
D,Z6,Z10,BS,Z7,Wide,Unforced,,Yes,,,
D,,Z12,S,Z3,In,,,,,,
N,Z3,Z12,FT,Z14,Long,Forced,,Yes,,,
D,,Z13,S,,Net,,,,,,
