player,ball lands,ball hit from,stroke type,ball hit to,in/out,forced/unforced,double fault,end of point,end of game,end of set,end of match
F,Z8,Z12,FT,Z10,in,,,,,,
N,Z10,,,,no hit,forced,,yes,,,
N,,Z12,S,Z2,in,,,,,,
F,Z2,Z11,FT,Z8,in,,,,,,
N,Z8,Z12,FT,Z11,in,,,,,,
F,Z11,Z11,FT,Z8,in,,,,,,
N,Z8,Z11,FT,Z10,in,,,,,,
F,Z10,Z13,BT,Z9,in,,,,,,
N,Z9,Z13,FT,Z9,in,,,,,,
F,Z9,Z13,BT,Z9,in,,,,,,
N,Z9,Z14,FT,Z10,in,,,,,,
F,Z10,Z14,FT,Z7,wide,unforced,,yes,,,
N,,Z13,S,,net,,,,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BT,Z9,in,,,,,,
N,Z9,Z14,FT,Z5,in,,,,,,
F,Z5,Z14,BT,,long,unforced,,yes,yes,,
F,,Z12,S,Z1,wide,,,,,,
F,,Z12,S,,let,,,,,,
F,,Z12,S,Z3,in,,,,,,
N,Z3,Z12,FT,Z6,in,,,,,,
F,Z6,Z14,BT,Z9,in,,,,,,
N,Z9,Z14,FT,Z10,in,,,,,,
F,Z10,Z14,FT,Z7,in,,,,,,
N,Z7,Z11,BS,Z15,in,,,,,,
F,Z15,Z15,FV,Z1,in,,,,,,
N,Z1,Z1,BL,Z20,in,,,,,,
F,Z20,,,,no hit,forced,,yes,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BT,Z7,in,,,,,,
N,Z7,Z12,FT,Z7,in,,,,,,
F,Z7,Z12,FT,Z2,in,,,,,,
N,Z2,Z11,BS,Z10,in,,,,,,
F,Z10,Z13,BT,Z8,in,,,,,,
N,Z8,Z12,BT,,net,unforced,,yes,,,
N,,Z13,S,Z3,in,,,,,,
F,Z3,Z12,BT,,net,forced,,yes,,,
F,,Z13,S,Z5,in,,,,,,
N,Z5,Z14,FT,,net,forced,,yes,,,
F,,Z12,S,Z2,in,,,,,,
N,Z2,Z11,BL,Z13,in,,,,,,
F,Z13,Z14,FT,Z10,in,,,,,,
N,Z10,Z14,FT,Z10,in,,,,,,
F,Z10,Z14,BS,,net,unforced,,yes,,,
N,,Z13,S,Z5,let,,,,,,
N,,Z13,S,Z6,in,,,,,,
F,Z6,Z14,BT,Z8,in,,,,,,
N,Z8,Z12,BT,Z8,in,,,,,,
F,Z8,Z8,FT,Z7,in,,,,,,
N,Z7,Z12,BT,Z16,in,,,,,,
F,Z16,Z16,FV,Z8,in,,,,,,
N,Z8,Z12,BL,,long,unforced,,yes,,,
N,,Z12,S,Z3,in,,,,,,
F,Z3,Z12,BT,Z8,in,,,,,,
N,Z8,Z12,BT,Z9,in,,,,,,
F,Z9,Z13,FT,Z10,in,,,,,,
N,Z10,,,,no hit,forced,,yes,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z13,BS,Z5,in,,,,,,
F,Z5,Z6,FT,Z10,in,,,,,,
