Player,Ball lands,Ball hit from,Stroke Type,Ball hit to,In/out,Forced/Unforced,Double Fault,End of Point,End of Game,End of Set,End of Match
N,Z1,Z11,BS,Z16,,,,,,,
F,Z16,Z5,FV,,Net,Unforced,,Yes,,,
F,,Z13,S,Z4,In,,,,,,
N,Z4,Z13,BT,Z9,In,,,,,,
F,Z9,Z13,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z8,In,,,,,,
F,Z8,Z13,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z10,In,,,,,,
F,Z10,Z13,FT,Z7,In,,,,,,
N,Z7,Z12,BT,Z3,In,,,,,,
F,Z3,Z12,FT,Z7,In,,,,,,
N,Z7,Z12,BT,Z9,In,,,,,,
F,Z9,Z13,BS,Z7,In,,,,,,
N,Z7,Z8,BS,Z9,In,,,,,,
F,Z9,Z13,BT,Z16,In,,,,,,
N,Z16,Z3,FV,Z5,In,,,,,,
F,Z5,Z9,BS,Z16,In,,,,,,
N,Z16,Z2,FT,Z6,In,,,,,,
F,Z6,Z6,BS,Z15,In,,,,,,
N,Z15,Z1,BV,Z5,In,,,,,,
F,Z5,,,,No Hit,Forced,,Yes,,,
F,,Z12,S,Z3,In,,,,,,
N,Z3,Z12,FT,Z8,In,,,,,,
F,Z8,Z13,FT,,Net,Unforced,,Yes,,,
F,,Z13,S,Z4,In,,,,,,
N,Z4,Z13,BT,Z16,In,,,,,,
F,Z16,Z4,BS,Z2,In,,,,,,
N,Z2,Z8,BT,Z16,In,,,,,,
F,Z16,Z4,FV,Z9,In,,,,,,
N,Z9,,,,No Hit,Forced,,Yes,,,
F,,Z12,S,Z1,In,,,,,,
N,Z1,Z11,BT,Z10,In,,,,,,
F,Z10,Z13,BT,Z7,In,,,,,,
N,Z7,Z12,BT,Z10,In,,,,,,
F,Z10,Z13,BT,,Net,Unforced,,Yes,,,
F,,Z13,S,Z6,In,,,,,,
N,Z6,Z14,FT,Z2,In,,,,,,
F,Z2,Z9,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z1,In,,,,,,
F,Z1,,,,No Hit,Forced,,Yes,Yes,,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z10,In,,,,,,
F,Z10,Z14,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z2,In,,,,,,
F,Z2,Z12,FT,Z8,In,,,,,,
N,Z8,Z12,FT,Z5,In,,,,,,
F,Z5,Z13,FT,Z10,In,,,,,,
N,Z10,,,,No Hit,Forced,,Yes,,,
N,,Z13,S,Z6,In,,,,,,
F,Z6,Z14,BT,Z1,In,,,,,,
N,Z1,Z12,BT,Z10,In,,,,,,
F,Z10,Z13,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z5,In,,,,,,
F,Z5,Z13,BT,Z7,In,,,,,,
N,Z7,Z11,BT,Z7,In,,,,,,
F,Z7,Z11,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z9,In,,,,,,
F,Z9,Z13,BS,Z4,In,,,,,,
N,Z4,Z8,FT,Z10,In,,,,,,
