Player,Ball lands,Ball hit from ,Stroke Type,Ball hit to ,In/out,Forced/Unforced,Double Fault,End of Point,End of Game,End of Set,End of Match
DP,Z3,Z12,BS,Z4,In,,,,,,
F,Z4,Z4,BS,Z10,In,,,,,,
DP,Z10,Z14,BS,Z1,In,,,,,,
F,Z1,Z1,FV,Z7,In,,,,,,
DP,Z7,-,-,-,No Hit,Forced,,Yes,Yes,,
DP,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BS,Z8,In,,,,,,
DP,Z8,Z12 ,FT,Z10 ,In,,,,,,
F,Z10,Z14,BT,Z7,In,,,,,,
DP,Z7,Z11,FT,Z8,In,,,,,,
F,Z8,Z11,FT,Z8,In,,,,,,
DP,Z8,Z11,FT,Z10,In,,,,,,
F,Z10,Z13,BS,Z13,Long,Unforced,,Yes,,,
DP,,Z13,S,Z4,Wide,Unforced,,,,,
DP,,Z13,S,Z5,In,,,,,,
F,Z5,Z10,BS,Z10,In,,,,,,
DP,Z10,Z14,BT,Z9,In,,,,,,
F,Z9,Z13,FT,Z9,In,,,,,,
DP,Z9,Z13,BT,Z9,In,,,,,,
F,Z9,Z13,FT,Z11,In,,,,,,
DP,Z11,-,-,-,No HIt,Forced,,Yes,,,
DP,,Z12,S,Z2,Net,Unforced,,,,,
DP,,Z12,S,Z2,In,,,,,,
F,Z2,Z11,FT,Z8,In,,,,,,
DP,Z8,Z12,FT,Z7,In,,,,,,
F,Z7,Z11,FT,Z13,Long,Unforced,,Yes,,,
DP,,Z13,S,Z4,In,,,,,,
F,Z4,-,-,-,No HIt,Forced,,Yes,,,
DP,,Z12,S,Z2,In,,,,,,
F,Z2,Z11,BS,Z2,In,,,,,,
DP,Z2,Z7,FT,Z10,In,,,,,,
F,Z10,Z14,BS,Z1,In,,,,,,
DP,Z1,Z1,FT,Z7,In,,,,,,
F,Z7,-,-,-,No Hit ,Forced,,Yes,Yes,,
F,,Z12,S,Z3,In,,,,,,
DP,Z3,Z12,BT,Z7,In,,,,,,
F,Z7,Z7,FT,Z8,In,,,,,,
DP,Z8,Z11,FT,Z9,In,,,,,,
F,Z9,Z13,BS,Z5,In,,,,,,
DP,Z5,Z10,BS,Z10 ,In,,,,,,
F,Z10,Z14,FT,Z8,In,,,,,,
DP,Z8,Z12,FT,Z3,In,,,,,,
F,Z3,Z8,FL,Z10,In,,,,,,
DP,Z10,Z14,BL ,Z4,In,,,,,,
F,Z4,Z4,FO,Z3,In,,,,,,
DP,Z3,Z12,FT,Z10,In,,,,,,
F,Z10,-,-,-,No Hit,Forced,,Yes,,,
F,,Z13,S,Z5,Long,Unforced,,,,,
F,,Z13,S,Z4`,In,,,,,,
DP,Z4,Z9,FT,Z10,In,,,,,,
F,Z10,Z14,FT,Z7,In,,,,,,
DP,Z7,Z12,FT,Z7,In,,,,,,
F,Z7,Z11,FT,Z7,In,,,,,,
DP,Z7,Z11,FT,Z4,In,,,,,,
F,Z4,Z9,BS,Z9,In,,,,,,
DP,Z9,Z13,BT,Z2,Net,Forced,,Yes,,,
F,,Z12,S,Z3,Net,Unforced,,,,,
F,,Z12,S,Z3,In,,,,,,
DP,Z3,Z12,BS,Z3,In,,,,,,
F,Z3,Z9,FT,Z10,In,,,,,,
DP,Z10,Z14,BT,Z4,In,,,,,,
F,Z4,Z4,FV,Z13,Long,Unforced,,Yes,,,
F,,Z13,S,Z5,In,,,,,,
DP,Z5,Z14,BT,Z9,In,,,,,,
F,Z9,Z13,FT,Z11,Wide,Unforced,,Yes,,,
F,,Z12,S,Z3,Wide,Unforced,,,,,
F,,Z12,S,Z2,IN,,,,,,
DP,Z2,Z11,BT,Z7,In,,,,,,
F,Z7,Z11,FT,Z10,In,,,,,,
DP,Z10,Z14,FS,Z3,Net,Forced,,Yes,,,
F,,Z13,S,Z5,Net,Unforced,,,,,
F,,Z13,S,Z5,In,,,,,,
DP,Z5,Z10,BT,Z13,In,,,,,,
F,Z13,Z13,FT,Z10,In,,,,,,
DP,Z10,Z14,BS,Z13,Long,Unforced,,Yes,,,
F,,Z12,S,Z3,Long,Unforced,,,,,
F,,Z12,S,Z3,In,,,,,,
DP,Z3,Z8,BT,Z10,In,,,,,,
F,Z10,Z14,BS,Z9,In,,,,,,
DP,Z9,Z13,FT,Z5,Net,Unforced,,Yes,,,
F,,Z13,S,Z4,In,,,,,,
DP,Z4,Z13,FT,Z10,In,,,,,,
F,Z10,Z10,BS,Z5,In,,,,,,
DP,Z5,Z10,BT,Z7,In,,,,,,
F,Z7,Z11,FT,Z10,In,,,,,,
DP,Z10,Z13,BT,Z10,In,,,,,,
F,Z10,Z13,BS,Z4,Net,Unforced,,Yes,,,
F,,Z12,S,Z2,Out,Unforced,,,,,
F,,Z12,S,Z2,In,,,,,,
DP,Z2,Z11,BS,Z8,In,,,,,,
F,Z8,Z12,FT,Z14,Long,Unforced,,Yes,,,
F,,Z13,S,Z5,Long,Unforced,,,,,
F,,Z13,S,Z5,In,,,,,,
DP,Z5,Z10,BT,Z9,In,,,,,,
F,Z9,Z13,FT,Z5,In,,,,,,
DP,Z5,Z14,BT,Z9,In,,,,,,
F,Z9,Z14,FT,Z7,In,,,,,,
DP,Z7,-,-,-,No Hit,Forced,,Yes,,,
F,,Z12,S,Z3,Wide,Unforced,,,,,
F,,Z12,S,Z3,In,,,,,,
DP,Z3,Z12,BS,Z9,In,,,,,,
F,Z9,Z13,FT,Z10,In,,,,,,
DP,Z10,Z14,BT,Z8,In,,,,,,
F,Z8,Z12,FT,Z3,In,,,,,,
