"","Player","Server","Stroke.Type","Opp.Stroke.Type","Ball.hit.to.lag4","Ball.hit.to.lag3","Ball.hit.to.lag2","Ball.lands","Ball.hit.from","Ball.hit.to","In.out","id","rally_num"
"147","DP","0","FT","BS",NA,"Z4","Z5","Z2","Z3","Z2","In",247,43
"148","F","1","FT","FT","Z4","Z5","Z2","Z2","Z2","Z3","In",248,43
"149","DP","0","FT","FT","Z5","Z2","Z2","Z3","Z2","Z4","In",249,43
"150","F","1","BT","FT","Z2","Z2","Z3","Z4","Z4","Z5","In",250,43
"151","DP","0","BT","BT","Z2","Z3","Z4","Z5","Z5","Z5","In",251,43
"152","F","1","BT","BT","Z3","Z4","Z5","Z5","Z5","Z5","In",252,43
"153","DP","0","BT","BT","Z4","Z5","Z5","Z5","Z5","Z4","In",253,43
"154","F","1","FT","BT","Z5","Z5","Z5","Z4","Z4","Z2","In",254,43
"155","DP","1","FT","BS",NA,NA,"Z2","Z3","Z3","Z2","In",257,44
"156","F","0","BS","FT",NA,"Z2","Z3","Z2","Z2","Z3","In",258,44
"157","DP","1","FT","BS","Z2","Z3","Z2","Z3","Z2","Z2","In",259,44
"158","F","0","BS","FT","Z3","Z2","Z3","Z2","Z2","Z3","In",260,44
"159","DP","1","FT","BS","Z2","Z3","Z2","Z3","Z3","Z3","Long",261,44
"160","DP","1","FT","FT",NA,NA,"Z4","Z4","Z4","Z5","In",264,45
"161","F","0","BT","FT",NA,"Z4","Z4","Z5","Z5","Z5","In",265,45
"162","DP","1","BT","BT","Z4","Z4","Z5","Z5","Z5","Z5","In",266,45
"163","F","0","BS","BT","Z4","Z5","Z5","Z5","Z5","Z5","In",267,45
"164","DP","1","BT","BS","Z5","Z5","Z5","Z5","Z5","Z5","In",268,45
"165","F","0","BS","BT","Z5","Z5","Z5","Z5","Z5","Z5","In",269,45
"166","DP","1","BS","BS","Z5","Z5","Z5","Z5","Z5","Z4","In",270,45
"167","F","0","FV","BS","Z5","Z5","Z5","Z4","Z4","Z5","In",271,45
"168","DP","1","FT","FT",NA,NA,"Z2","Z3","Z3","Z5","In",274,46
"169","F","0","BS","FT",NA,"Z2","Z3","Z5","Z5","Z4","In",275,46
"170","DP","1","FT","BS","Z2","Z3","Z5","Z4","Z4","Z2","Wide",276,46
"171","DP","1","FT","BS",NA,NA,"Z3","Z4","Z4","Z2","In",279,47
"172","DP","1","FO","BS","Z3","Z4","Z2","AT_NET","Z5","Z5","In",281,47
"173","DP","1","FT","BS",NA,NA,"Z5","Z4","Z4","Z5","In",284,48
"174","F","0","BS","FT",NA,"Z5","Z4","Z5","Z5","Z6","In",285,48
"175","DP","1","BT","BS","Z5","Z4","Z5","Z6","Z6","Z2","In",286,48
"176","F","0","FS","BT","Z4","Z5","Z6","Z2","Z2","Z5","In",287,48
"177","DP","1","FO","FS","Z5","Z6","Z2","Z5","Z6","Z3","In",288,48
